total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_win,avg_loss,largest_win,largest_loss,profit_factor,max_drawdown,final_balance,return_pct,sharpe_ratio,params
195,123,72,0.6307692307692307,20866.599999999948,729.701138211382,-956.7588888888893,3005.8799999999956,-2354.120000000004,1.3029121466804006,7580.040000000001,70866.60000000005,41.733200000000096,0.5268270476473399,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 25, 'target_ticks': 15}"
192,118,74,0.6145833333333334,20788.95999999994,768.1681355932203,-943.9848648648651,3005.8799999999956,-2354.120000000004,1.2976021145552032,7222.440000000024,70788.96000000005,41.5779200000001,0.5244335122612532,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 25, 'target_ticks': 20}"
194,122,72,0.6288659793814433,20040.719999999943,734.3226229508196,-965.9255555555561,3005.8799999999956,-2354.120000000004,1.2881623037432137,8405.920000000006,70040.72000000003,40.081440000000065,0.5080955898683001,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 30, 'target_ticks': 15}"
191,117,74,0.612565445026178,19963.079999999936,773.3158974358973,-952.9037837837842,3005.8799999999956,-2354.120000000004,1.2831045021986842,7605.919999999991,69963.08000000005,39.92616000000009,0.5056934237011333,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 30, 'target_ticks': 20}"
192,114,78,0.59375,20398.959999999937,813.2484210526312,-927.0687179487181,3005.8799999999956,-2354.120000000004,1.2820989675757715,8127.760000000031,70398.96000000005,40.7979200000001,0.5046885740570215,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 20, 'target_ticks': 25}"
191,114,77,0.5968586387434555,20343.079999999933,816.4940350877191,-944.6394805194809,3005.8799999999956,-2354.120000000004,1.2796790199903094,7700.039999999986,70343.08000000005,40.68616000000009,0.5045640315912023,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 25, 'target_ticks': 25}"
197,123,74,0.6243654822335025,19878.35999999995,730.1076422764227,-944.9308108108111,3005.8799999999956,-2354.120000000004,1.2842816462466573,7647.760000000031,69878.36000000004,39.75672000000009,0.5029455359147709,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 20, 'target_ticks': 15}"
194,118,76,0.6082474226804123,19800.71999999995,768.5918644067797,-932.804210526316,3005.8799999999956,-2354.120000000004,1.2793038308936042,7417.760000000031,69800.72000000006,39.601440000000125,0.5005471040157815,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 20, 'target_ticks': 20}"
190,113,77,0.5947368421052631,19517.199999999928,822.2516814159289,-953.2109090909096,3005.8799999999956,-2354.120000000004,1.2659119062242659,8525.919999999991,69517.19999999998,39.03439999999996,0.4861993756657643,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 30, 'target_ticks': 25}"
106,64,42,0.6037735849056604,11953.279999999993,840.2550000000003,-995.7866666666672,2605.879999999997,-2354.120000000004,1.2858061011346853,10298.279999999999,61953.28,23.90656,0.385477733331248,"{'vwap_period': 20, 'stddev_mult': 2.5, 'stop_loss_ticks': 25, 'target_ticks': 25}"
106,66,40,0.6226415094339622,11883.28,797.6981818181824,-1019.1200000000008,2605.879999999997,-2354.120000000004,1.2915083601538582,10298.279999999999,61883.28,23.76656,0.38444755507260364,"{'vwap_period': 20, 'stddev_mult': 2.5, 'stop_loss_ticks': 25, 'target_ticks': 20}"
106,66,40,0.6226415094339622,11503.280000000006,791.9406060606067,-1019.1200000000008,2605.879999999997,-2354.120000000004,1.2821865923541877,10298.279999999999,61503.28000000001,23.006560000000025,0.3741637427166385,"{'vwap_period': 20, 'stddev_mult': 2.5, 'stop_loss_ticks': 25, 'target_ticks': 15}"
106,65,41,0.6132075471698113,11423.279999999999,808.3415384615389,-1002.9004878048787,2605.879999999997,-2354.120000000004,1.2778107985326461,10298.279999999999,61423.28,22.846559999999997,0.3702826054787903,"{'vwap_period': 20, 'stddev_mult': 2.5, 'stop_loss_ticks': 20, 'target_ticks': 20}"
106,63,43,0.5943396226415094,11313.279999999992,845.56253968254,-975.7479069767446,2605.879999999997,-2354.120000000004,1.269638841141774,10298.279999999999,61313.28,22.626559999999998,0.3655561445893207,"{'vwap_period': 20, 'stddev_mult': 2.5, 'stop_loss_ticks': 20, 'target_ticks': 25}"
199,125,74,0.628140703517588,13680.119999999939,656.68,-924.3902702702708,3005.8799999999956,-2354.120000000004,1.1999874862729085,11143.600000000013,63680.11999999993,27.36023999999986,0.3646467561705693,"{'vwap_period': 20, 'stddev_mult': 2.0, 'stop_loss_ticks': 25, 'target_ticks': 15}"
