timestamp,open,high,low,close,volume
2024-01-01 00:00:00,74.88,75.41,74.54,74.66,39460
2024-01-01 01:00:00,72.17,72.19,72.08,72.15,35389
2024-01-01 02:00:00,73.24,73.36,72.87,73.01,46252
2024-01-01 03:00:00,74.04,74.44,73.89,74.23,43620
2024-01-01 04:00:00,75.66,75.69,75.19,75.24,49080
2024-01-01 05:00:00,77.65,77.73,77.45,77.66,20916
2024-01-01 06:00:00,77.33,77.67,76.89,77.6,44450
2024-01-01 07:00:00,78.51,78.64,78.32,78.39,34318
2024-01-01 08:00:00,79.47,79.94,79.45,79.89,37873
2024-01-01 09:00:00,78.03,78.21,77.88,77.89,19668
2024-01-01 10:00:00,77.03,77.21,76.84,76.84,26623
2024-01-01 11:00:00,77.97,77.98,76.92,77.45,38217
2024-01-01 12:00:00,75.47,75.83,75.26,75.7,36264
2024-01-01 13:00:00,74.29,74.43,74.03,74.04,17227
2024-01-01 14:00:00,73.96,74.87,73.64,74.61,34606
2024-01-01 15:00:00,77.94,78.07,77.27,78.02,36302
2024-01-01 16:00:00,81.0,81.27,80.72,81.01,26209
2024-01-01 17:00:00,79.39,79.68,79.1,79.49,36852
2024-01-01 18:00:00,79.63,79.89,79.44,79.51,44642
2024-01-01 19:00:00,77.33,77.68,76.93,77.62,40793
2024-01-01 20:00:00,80.49,80.6,80.23,80.34,29384
2024-01-01 21:00:00,80.43,81.35,80.39,80.51,30211
2024-01-01 22:00:00,81.18,81.32,80.85,81.29,17287
2024-01-01 23:00:00,81.63,81.81,81.3,81.72,48546
2024-01-02 00:00:00,81.92,82.26,81.39,81.85,48401
2024-01-02 01:00:00,80.81,80.93,80.47,80.51,24531
2024-01-02 02:00:00,81.83,81.87,81.56,81.57,30004
2024-01-02 03:00:00,79.34,79.74,79.29,79.47,43421
2024-01-02 04:00:00,78.14,78.4,78.05,78.39,36550
2024-01-02 05:00:00,82.31,82.89,82.2,82.2,10303
2024-01-02 06:00:00,82.57,82.59,81.53,81.67,47603
2024-01-02 07:00:00,84.64,84.73,83.56,83.68,26300
2024-01-02 08:00:00,85.85,86.04,85.69,85.76,25542
2024-01-02 09:00:00,86.39,86.53,86.14,86.3,44870
2024-01-02 10:00:00,86.93,87.07,86.41,86.82,13741
2024-01-02 11:00:00,85.91,86.24,85.76,86.13,47032
2024-01-02 12:00:00,85.33,85.92,84.86,85.15,33182
2024-01-02 13:00:00,88.65,88.75,88.4,88.68,20058
2024-01-02 14:00:00,87.7,87.87,87.66,87.69,19506
2024-01-02 15:00:00,88.09,88.9,87.96,88.31,29964
2024-01-02 16:00:00,84.96,85.18,84.65,85.05,36205
2024-01-02 17:00:00,87.94,88.33,87.13,88.1,48477
2024-01-02 18:00:00,87.16,87.42,86.53,87.36,10449
2024-01-02 19:00:00,86.61,86.94,85.87,85.89,35494
2024-01-02 20:00:00,85.6,86.14,85.02,85.73,14811
2024-01-02 21:00:00,87.24,87.3,86.69,87.25,45139
2024-01-02 22:00:00,85.21,85.37,84.48,84.76,18070
2024-01-02 23:00:00,85.09,85.72,85.0,85.1,17571
2024-01-03 00:00:00,84.9,85.14,84.56,84.65,43977
2024-01-03 01:00:00,84.13,84.19,83.18,84.13,44272
2024-01-03 02:00:00,81.84,81.91,81.34,81.8,35827
2024-01-03 03:00:00,84.22,84.66,83.62,84.65,25141
2024-01-03 04:00:00,84.99,85.66,84.68,84.82,41861
2024-01-03 05:00:00,85.98,86.15,85.91,86.03,12946
2024-01-03 06:00:00,86.36,87.06,86.22,86.54,31834
2024-01-03 07:00:00,88.83,89.47,88.54,89.27,44440
2024-01-03 08:00:00,90.57,90.7,90.21,90.23,20214
2024-01-03 09:00:00,92.12,92.14,92.05,92.1,28874
2024-01-03 10:00:00,93.31,93.41,92.48,92.55,23203
2024-01-03 11:00:00,94.17,94.35,93.61,93.93,31899
2024-01-03 12:00:00,91.69,91.82,91.4,91.52,16931
2024-01-03 13:00:00,89.49,89.85,89.17,89.38,21904
2024-01-03 14:00:00,93.09,93.32,92.54,92.74,16560
2024-01-03 15:00:00,91.13,91.15,90.56,91.12,43461
2024-01-03 16:00:00,88.8,88.95,88.35,88.47,45646
2024-01-03 17:00:00,88.37,88.78,88.05,88.05,30126
2024-01-03 18:00:00,88.0,88.77,87.4,88.18,35170
2024-01-03 19:00:00,89.71,90.09,89.66,89.99,23613
2024-01-03 20:00:00,88.32,88.98,88.3,88.46,23128
2024-01-03 21:00:00,87.56,88.32,87.53,88.12,40477
2024-01-03 22:00:00,85.84,86.14,85.72,85.76,29592
2024-01-03 23:00:00,83.7,83.8,82.91,83.05,45517
2024-01-04 00:00:00,83.07,83.23,82.14,82.2,25689
2024-01-04 01:00:00,85.32,85.35,84.72,85.29,17358
2024-01-04 02:00:00,84.98,85.54,84.74,85.11,22951
2024-01-04 03:00:00,86.64,86.82,86.57,86.73,10789
2024-01-04 04:00:00,90.0,90.1,89.5,89.72,15983
2024-01-04 05:00:00,88.21,88.54,88.01,88.26,39949
2024-01-04 06:00:00,91.05,91.34,90.67,91.32,11244
2024-01-04 07:00:00,88.78,88.9,88.48,88.7,10871
2024-01-04 08:00:00,87.89,88.17,87.23,87.28,12026
2024-01-04 09:00:00,86.0,86.93,85.57,85.64,47885
2024-01-04 10:00:00,86.16,86.96,86.05,86.85,20625
2024-01-04 11:00:00,87.59,87.62,86.83,87.05,25770
2024-01-04 12:00:00,90.35,90.42,90.0,90.4,28701
